isogroup1000	sp|Q9P974|IF4E_CANGA
isogroup7630	sp|Q54W83|LSM1_DICDI
isogroup76300	sp|Q54TA5|TBC5B_DICDI
isogroup76322	sp|Q16P20|CISY2_AEDAE
isogroup76324	sp|Q5BLD8|MT21A_DANRE
isogroup76329	sp|Q5ND28|SREC_MOUSE
isogroup76332	sp|A0M576|RS13_GRAFK
isogroup76336	sp|Q07994|NCPR_MUSDO
isogroup7634	sp|Q09734|MIP_TRYCR
isogroup76358	sp|Q8C8R3|ANK2_MOUSE
isogroup7636	sp|Q5R5X3|PUM1_PONAB
isogroup76364	sp|Q87LD3|RLUA_VIBPA
isogroup76367	sp|Q6FYC3|GLO2_BARQU
isogroup76369	sp|Q84MD8|FHYRK_ARATH
isogroup7637	sp|Q2KHS5|MOG2A_XENLA
isogroup76391	sp|Q9VU84|DBNL_DROME
isogroup76395	sp|Q9HGM6|YHW5_SCHPO
isogroup76401	sp|P0DJ19|RL27_TETTH
isogroup76416	sp|Q54J69|RL10_DICDI
isogroup7642	sp|Q6GLM5|DESI1_XENLA
isogroup76420	sp|Q757G1|RS29_ASHGO
isogroup76421	sp|Q968X7|PNO_CRYPV
isogroup76425	sp|A3LQW7|DBP2_PICST
isogroup76454	sp|P12336|GTR2_RAT
isogroup76483	sp|P54927|IMP2_SOLLC
isogroup7649	sp|Q9FMX6|DJC76_ARATH
isogroup76490	sp|P93107|PF20_CHLRE
isogroup7651	sp|Q6TDP4|KLH17_HUMAN
isogroup76516	sp|Q9FNM7|RH26_ARATH
isogroup76528	sp|E9Q5M6|CFA44_MOUSE
isogroup76529	sp|Q9QXE5|TSSP_MOUSE
isogroup76539	sp|Q84J46|PP262_ARATH
isogroup76548	sp|P46871|KRP95_STRPU
isogroup76558	sp|Q45FA5|SRPK_PHYPO
isogroup76564	sp|Q9P3U1|YKX5_SCHPO
isogroup76568	sp|P29691|EF2_CAEEL
isogroup76571	sp|P0C2H6|RL27A_YEAST
isogroup7659	sp|P16157|ANK1_HUMAN
isogroup76593	sp|Q64411|PEPC_CAVPO
isogroup7661	sp|Q9FVQ5|CSCL1_ARATH
isogroup76627	sp|O54754|AOXA_MOUSE
isogroup76628	sp|P25779|CYSP_TRYCR
isogroup7663	sp|A4QQN1|M2DH_MAGO7
isogroup76637	sp|Q9SVN5|SYMC_ARATH
isogroup76648	sp|Q9ULJ7|ANR50_HUMAN
isogroup76654	sp|Q01397|DYNA_NEUCR
isogroup76658	sp|A2AQP0|MYH7B_MOUSE
isogroup7666	sp|Q39593|SAC1_CHLRE
isogroup76660	sp|Q9NYC9|DYH9_HUMAN
isogroup76670	sp|Q9QR71|LANA1_HHV8P
isogroup7668	sp|P34436|YL56_CAEEL
isogroup76681	sp|O64882|BGL17_ARATH
isogroup76696	sp|O59028|MDH_PYRHO
isogroup7670	sp|Q83LU8|RIBX_SHIFL
isogroup7671	sp|Q5XG92|EST4A_HUMAN
isogroup7672	sp|P40989|FKS2_YEAST
isogroup76738	sp|Q7XUW4|KOR2_ORYSJ
isogroup76739	sp|Q8W489|RAD4_ARATH
isogroup7674	sp|Q9USI5|STI1_SCHPO
isogroup7675	sp|A7SKJ3|DPH2_NEMVE
isogroup76750	sp|P16638|ACLY_RAT
isogroup76765	sp|O00763|ACACB_HUMAN
isogroup76791	sp|Q7MGG3|RIBXA_VIBVY
isogroup768	sp|Q5ZMM1|RIOX1_CHICK
isogroup76813	sp|D4ANB6|CBPYB_ARTBC
isogroup76814	sp|O30511|FUCT_HELPX
isogroup7682	sp|Q39129|STR16_ARATH
isogroup76820	sp|Q8WYA0|IFT81_HUMAN
isogroup76821	sp|Q9C5J7|PFKA7_ARATH
isogroup7685	sp|P02982|TCR1_ECOLX
isogroup76856	sp|Q9LS25|PP420_ARATH
isogroup76867	sp|Q8T1C6|GNT1_DICDI
isogroup76868	sp|Q96J65|MRP9_HUMAN
isogroup76880	sp|P30416|FKBP4_MOUSE
isogroup76881	sp|P30707|RL9_PEA
isogroup76899	sp|O09452|G3PA_GUITH
isogroup7691	sp|Q9C7I1|ATL34_ARATH
isogroup76922	sp|Q9BM99|JANA_DROSI
isogroup76949	sp|Q8R943|PCKA_CALS4
isogroup76988	sp|Q21268|YMSO_CAEEL
isogroup7699	sp|Q8LFS6|BRN1L_ARATH
isogroup76999	sp|Q9S7Q2|PP124_ARATH
isogroup7701	sp|O60178|NTA1_SCHPO
isogroup7703	sp|P0C1S9|DGLB_RAT
isogroup7705	sp|P18910|ANPRA_RAT
isogroup77058	sp|Q7X809|PAO3_ORYSJ
isogroup7708	sp|Q9FL25|KCO2_ARATH
isogroup77085	sp|Q5UPD4|YL060_MIMIV
isogroup77097	sp|Q83BS0|NUSA_COXBU
isogroup7710	sp|Q8NEA9|GMCL2_HUMAN
isogroup77112	sp|Q9SIC9|PP178_ARATH
isogroup77119	sp|Q9C813|DEAHD_ARATH
isogroup7712	sp|Q4V8U5|ANO10_DANRE
isogroup77126	sp|P25303|SCJ1_YEAST
isogroup7713	sp|Q7XSQ5|CDPKC_ORYSJ
isogroup77147	sp|A8MR93|ALG12_ARATH
isogroup77167	sp|A2VEC9|SSPO_HUMAN
isogroup7717	sp|Q9SEL6|VTI11_ARATH
isogroup77173	sp|O32210|GR_BACSU
isogroup77177	sp|P0C605|KGP1_MOUSE
isogroup77178	sp|Q5UPD4|YL060_MIMIV
isogroup7718	sp|A7MBI7|COMT_BOVIN
isogroup77183	sp|Q9SUI2|PI5K7_ARATH
isogroup772	sp|Q5U374|KLH12_DANRE
isogroup7721	sp|P91645|CAC1A_DROME
isogroup7722	sp|Q9M2E2|SDR1_ARATH
isogroup77222	sp|B3EUG6|IF2_AMOA5
isogroup77242	sp|P12352|PSAE_CHLRE
isogroup77254	sp|Q08288|LYAR_MOUSE
isogroup77256	sp|Q0V6P9|MET3_PHANO
isogroup77275	sp|Q58338|Y928_METJA
isogroup77279	sp|Q8MTI2|BSL1_TRIVA
isogroup7728	sp|Q8R322|GLE1_MOUSE
isogroup77287	sp|Q29Q26|AKR2B_ARATH
isogroup7729	sp|Q8H5F8|ADPRM_ORYSJ
isogroup77300	sp|Q8VC60|GLB1L_MOUSE
isogroup7733	sp|P14749|AGAL_CYATE
isogroup77336	sp|B9DNJ9|DNAJ_STACT
isogroup77340	sp|P53294|PUS6_YEAST
isogroup7735	sp|Q9M2Z4|MSBP2_ARATH
isogroup77356	sp|O74976|FAT2_SCHPO
isogroup77359	sp|O48557|RL17_MAIZE
isogroup7737	sp|Q08699|RS14_PODCA
isogroup77372	sp|P48158|RL23_CAEEL
isogroup77379	sp|Q9SLG9|PI5K5_ARATH
isogroup77381	sp|Q9M081|SC24B_ARATH
isogroup7739	sp|Q9QUH0|GLRX1_MOUSE
isogroup77400	sp|Q3UPY5|GLBL2_MOUSE
isogroup7741	sp|Q9VR91|HERC2_DROME
isogroup77417	sp|P81286|PLMN_SHEEP
isogroup77434	sp|Q8L7M0|TUN_ARATH
isogroup77455	sp|Q54UC9|KIF3_DICDI
isogroup7747	sp|Q9FLQ7|FH20_ARATH
isogroup77479	sp|M9MRI4|TRIM9_DROME
isogroup77481	sp|Q235M8|RL10_TETTS
isogroup77487	sp|Q42093|AB2C_ARATH
isogroup7749	sp|Q7XJE5|MCA2_ARATH
isogroup77506	sp|P32644|ECM32_YEAST
isogroup77510	sp|Q8CG07|WRIP1_RAT
isogroup77517	sp|P15159|TNNC_TACTR
isogroup77554	sp|Q6P8E9|NH2L1_XENTR
isogroup7756	sp|Q8W4D4|BAGP1_ARATH
isogroup77569	sp|Q9VXX8|RL371_DROME
isogroup77577	sp|Q505H7|IWS1_XENTR
isogroup7758	sp|B5FXZ4|MZT1_TAEGU
isogroup77581	sp|Q9SVE7|DTX45_ARATH
isogroup77593	sp|A5UY94|PDXS_ROSS1
isogroup7760	sp|Q7DBF3|GDPPS_ECO57
isogroup77615	sp|F0NBH8|KMT_SULIR
isogroup77616	sp|Q54PT9|MRFA_DICDI
isogroup7762	sp|P28148|TBP2_ARATH
isogroup77623	sp|P22696|ESS1_YEAST
isogroup77635	sp|Q5UPD4|YL060_MIMIV
isogroup77640	sp|Q03686|BIP8_TOBAC
isogroup77649	sp|P10878|TBB_TOXGO
isogroup7765	sp|Q9ZQ89|UPS2_ARATH
isogroup77665	sp|O58389|TDH_PYRHO
isogroup7768	sp|Q1GPB3|RS8_SPHAL
isogroup7770	sp|P40358|JEM1_YEAST
isogroup7771	sp|Q5RF88|FKBP5_PONAB
isogroup77717	sp|Q6CYB3|ERG6_KLULA
isogroup77720	sp|Q00593|ALKJ_PSEOL
isogroup7773	sp|Q6DGZ1|B9D2_DANRE
isogroup77734	sp|Q8C8R3|ANK2_MOUSE
isogroup77736	sp|A0BD73|RL72_PARTE
isogroup7775	sp|Q3ED68|Y1295_ARATH
isogroup77751	sp|P11442|CLH1_RAT
isogroup77756	sp|P45798|GUB_RHOMR
isogroup77761	sp|Q53RE8|ANR39_HUMAN
isogroup77771	sp|Q5ZKR7|ACBG2_CHICK
isogroup77773	sp|Q9P7P8|DDH1_SCHPO
isogroup77775	sp|Q9CYG7|TOM34_MOUSE
isogroup77794	sp|Q91ZG2|MPPD1_MOUSE
isogroup77809	sp|Q55A09|Y9963_DICDI
isogroup77850	sp|Q9ZGI4|PIKA2_STRVZ
isogroup77861	sp|A6P3B2|FMRF_MUSDO
isogroup77867	sp|Q8K596|NAC2_MOUSE
isogroup77868	sp|P58140|RK16_EUGLO
isogroup77901	sp|Q9Z8M3|RS1_CHLPN
isogroup77903	sp|Q5XIN7|PMGT1_RAT
isogroup7791	sp|Q54DD0|AMPD_DICDI
isogroup77913	sp|P51689|ARSD_HUMAN
isogroup77915	sp|Q8IBG1|DYHC1_PLAF7
isogroup77917	sp|O80642|PGT1_ARATH
isogroup77919	sp|Q9Z1K6|ARI2_MOUSE
isogroup77950	sp|E1BM58|PRAX_BOVIN
isogroup77952	sp|O74959|YJCD_SCHPO
isogroup77959	sp|Q71U00|SKP1_XENLA
isogroup77970	sp|Q11BE3|MASZ_CHESB
isogroup77974	sp|A1RY08|TMCA_THEPD
isogroup77976	sp|E9Q8T7|DYH1_MOUSE
isogroup77982	sp|Q9P843|RL27_CANAX
isogroup7800	sp|Q0IMG9|SL11_ORYSJ
isogroup78038	sp|A1VYV7|ALF_CAMJJ
isogroup7804	sp|Q04960|DNJH_CUCSA
isogroup7805	sp|Q39613|CYPH_CATRO
isogroup78060	sp|Q9FE62|YLS8_ARATH
isogroup78061	sp|Q9SIC9|PP178_ARATH
isogroup78065	sp|Q40412|ABA2_NICPL
isogroup78067	sp|Q9S7Q2|PP124_ARATH
isogroup78102	sp|Q9HDW9|GPI12_SCHPO
isogroup78107	sp|P60040|RL72_ARATH
isogroup78111	sp|A2VE45|TT30A_BOVIN
isogroup78115	sp|Q9UW86|PP1_NEUCR
isogroup78116	sp|Q09831|PPK14_SCHPO
isogroup78118	sp|Q9LSU0|PSA3_ORYSJ
isogroup78131	sp|A5WWA0|ZNRF3_DANRE
isogroup78139	sp|Q8S4Y1|THIC1_ARATH
isogroup78154	sp|Q99L47|F10A1_MOUSE
isogroup78167	sp|P14540|ALF_YEAST
isogroup78171	sp|Q9SUI2|PI5K7_ARATH
isogroup78179	sp|Q9D6Z1|NOP56_MOUSE
isogroup7819	sp|Q15751|HERC1_HUMAN
isogroup78201	sp|Q8H0S9|PSA_ARATH
isogroup78227	sp|Q9QR71|LANA1_HHV8P
isogroup7824	sp|Q5DU05|CE164_MOUSE
isogroup78253	sp|P74388|BQMT_SYNY3
isogroup78257	sp|Q6J5K9|ARMI_DROME
isogroup78260	sp|Q0V8H6|MOV10_BOVIN
isogroup78267	sp|Q0J968|CAEH2_ORYSJ
isogroup78278	sp|Q54C94|GEFF_DICDI
isogroup78284	sp|Q7XA72|AB21G_ARATH
isogroup7829	sp|Q4E123|MTR1_TRYCC
isogroup78307	sp|Q9UPZ6|THS7A_HUMAN
isogroup78315	sp|P50215|IDH_SPHYA
isogroup78339	sp|P39535|PHO90_YEAST
isogroup78345	sp|Q01042|ICP22_SHV21
isogroup78351	sp|Q11QH3|DNAK_CYTH3
isogroup78359	sp|Q54EW1|GLYC2_DICDI
isogroup78360	sp|P77967|CRYD_SYNY3
isogroup78363	sp|Q9LV93|AB5F_ARATH
isogroup78370	sp|O64816|CSK2P_ARATH
isogroup78378	sp|Q8RWY1|ALKB8_ARATH
isogroup78379	sp|P07756|CPSM_RAT
isogroup78382	sp|P45623|HEM2_SELMA
isogroup78383	sp|Q0J954|PAO5_ORYSJ
isogroup78384	sp|P62246|RS15A_RAT
isogroup7839	sp|Q87N15|RLUC_VIBPA
isogroup78405	sp|P0C7Q1|CC153_MOUSE
isogroup78419	sp|Q0PD08|RAB42_MOUSE
isogroup7842	sp|A9WGE3|SCCT_CHLAA
isogroup78428	sp|Q8C436|MT21D_MOUSE
isogroup78430	sp|Q9LK94|MDAR4_ARATH
isogroup78464	sp|Q9VH78|ALG12_DROME
isogroup78486	sp|Q5XJ54|GLRX3_DANRE
isogroup78493	sp|Q8DCJ7|METH_VIBVU
isogroup78506	sp|Q10101|RS7_SCHPO
isogroup78507	sp|P28475|S6PD_MALDO
isogroup78508	sp|Q5UQL2|YL414_MIMIV
isogroup78515	sp|Q6DHK1|NNRE_DANRE
isogroup78601	sp|C0LGU1|Y5374_ARATH
isogroup7861	sp|Q18161|YBPT_CAEEL
isogroup78629	sp|O64642|URT1_ARATH
isogroup78656	sp|B0SRF0|DNAJ_LEPBP
isogroup78698	sp|I1RNL0|C9MT2_GIBZE
isogroup78704	sp|F1QNW4|DRC4_DANRE
isogroup78707	sp|Q3UQV5|KBTB8_MOUSE
isogroup78747	sp|O93937|PYR1_EMENI
isogroup7875	sp|A8MWY0|K132L_HUMAN
isogroup7878	sp|Q9UJX6|ANC2_HUMAN
isogroup7880	sp|Q45826|Y901_CHLAA
isogroup78808	sp|Q5R4H3|KIF3A_PONAB
isogroup78809	sp|Q9ULJ7|ANR50_HUMAN
isogroup7881	sp|A6WW16|4HPE1_OCHA4
isogroup78818	sp|Q9LT68|NHD1_ARATH
isogroup7882	sp|Q6E804|NOD2_BOVIN
isogroup78820	sp|C0LGF5|Y1341_ARATH
isogroup78825	sp|Q63HN8|RN213_HUMAN
isogroup7883	sp|P42738|CM1_ARATH
isogroup78836	sp|A5FMZ3|RL16_FLAJ1
isogroup7884	sp|Q9ESM7|SE1L1_MESAU
isogroup78840	sp|B6SFA4|MAA3_ARATH
isogroup78849	sp|Q9SIC9|PP178_ARATH
isogroup7885	sp|Q55EQ3|Y9086_DICDI
isogroup7886	sp|P42696|RBM34_HUMAN
isogroup78879	sp|Q2KJG8|BCKD_BOVIN
isogroup78907	sp|Q05866|BIP_PLAFO
isogroup78917	sp|Q42406|CP18D_ARATH
isogroup7893	sp|O64624|PP163_ARATH
isogroup78952	sp|Q8LDP4|CP19D_ARATH
isogroup7898	sp|Q4KM32|MUS81_RAT
isogroup78992	sp|Q9P7W3|ACL1_SCHPO
isogroup790	sp|Q9I1K2|ATSE1_PSEAE
isogroup7901	sp|Q02357|ANK1_MOUSE
isogroup79013	sp|P57790|KEAP1_RAT
isogroup7903	sp|Q8CIE4|PAR10_MOUSE
isogroup79033	sp|A5GWA2|RSMH_SYNR3
isogroup79058	sp|Q09530|MOG5_CAEEL
isogroup79065	sp|Q9C5J6|IPT9_ARATH
isogroup79083	sp|Q9LX90|PABN3_ARATH
isogroup79097	sp|O65050|RL15A_PICMA
isogroup7910	sp|Q9STH1|HSOP3_ARATH
isogroup7912	sp|P35580|MYH10_HUMAN
isogroup79125	sp|Q3SFZ6|MSBA_THIDA
isogroup7915	sp|Q91V83|TTI1_MOUSE
isogroup79150	sp|Q4JHN6|FPS_PANGI
isogroup79185	sp|Q76E23|IF4G_ARATH
isogroup79187	sp|Q9UBS8|RNF14_HUMAN
isogroup79193	sp|A4YI89|HPCD_METS5
isogroup79205	sp|P50513|RLUD_ZYMMO
isogroup79240	sp|Q7MTN5|IF1_PORGI
isogroup79247	sp|Q54I48|CTL2_DICDI
isogroup7930	sp|Q9EQ60|CAC1H_RAT
isogroup79302	sp|Q0BXT4|RSMH_HYPNA
isogroup79318	sp|D4AKU9|SUB1_ARTBC
isogroup79326	sp|Q8VIG3|RSPH1_MOUSE
isogroup79329	sp|Q8LPJ3|MANA2_ARATH
isogroup7933	sp|P35748|MYH11_RABIT
isogroup79335	sp|Q5F389|WWOX_CHICK
isogroup7936	sp|Q9P7F1|YKK5_SCHPO
isogroup79379	sp|Q94IB8|LCB1_ARATH
isogroup7939	sp|Q822R1|PKN1_CHLCV
isogroup79410	sp|B0TZ91|RNH_FRAP2
isogroup79423	sp|Q6DCC6|GTPB6_XENLA
isogroup79432	sp|P43735|DNAJ_HAEIN
isogroup7944	sp|A7EAY2|MAK5_SCLS1
isogroup79449	sp|Q55FV8|T144A_DICDI
isogroup79453	sp|Q6YIA3|RS23_SACU7
isogroup79500	sp|P31692|ADT_PARKE
isogroup7953	sp|Q6ZIK0|GTOMC_ORYSJ
isogroup79544	sp|A4XD40|KMO_SALTO
isogroup79558	sp|Q24154|RL29_DROME
isogroup79571	sp|P31406|VATA_SCHPO
isogroup7958	sp|P51412|RK21_ARATH
isogroup79617	sp|Q8X097|ACL1_NEUCR
isogroup7962	sp|Q7TSC3|NEK5_MOUSE
isogroup79635	sp|B5X582|TWIH_ARATH
isogroup7964	sp|Q9UF56|FXL17_HUMAN
isogroup79648	sp|O14232|MTR4_SCHPO
isogroup7965	sp|Q09788|ASL1_SCHPO
isogroup79657	sp|Q9QXE5|TSSP_MOUSE
isogroup79662	sp|C6Y4A5|YELS_SCHPO
isogroup7967	sp|Q0J969|CAEH1_ORYSJ
isogroup79689	sp|Q8ZES9|LCFA_YERPE
isogroup79691	sp|Q8RWS8|PP199_ARATH
isogroup79721	sp|P49211|RL321_ARATH
isogroup79734	sp|Q8RWI9|AB15G_ARATH
isogroup79745	sp|Q9LG23|PPR82_ARATH
isogroup79754	sp|Q54BW1|Y3380_DICDI
isogroup79757	sp|Q8WU39|MZB1_HUMAN
isogroup79771	sp|Q9VEI3|S35B2_DROME
isogroup79776	sp|Q9FHB6|DTX16_ARATH
isogroup79782	sp|Q6M9M7|Y1998_PARUW
isogroup79799	sp|Q8VIG3|RSPH1_MOUSE
isogroup79800	sp|Q9H6W3|RIOX1_HUMAN
isogroup79820	sp|P19436|DBH_THET8
isogroup7985	sp|O95180|CAC1H_HUMAN
isogroup79870	sp|A5DQN2|SET5_PICGU
isogroup79886	sp|P47904|RS27_XENLA
isogroup7989	sp|Q9KHE2|Y189_STRGR
isogroup79898	sp|Q4P0I7|SAR1_USTMA
isogroup79906	sp|Q9VUV9|U520_DROME
isogroup79912	sp|Q8N0N9|ODH_HALDH
isogroup79913	sp|P41439|FOLR3_HUMAN
isogroup7992	sp|Q4LB35|FOL1_SCHPO
isogroup79946	sp|Q5XJN6|CC113_DANRE
isogroup7998	sp|O31773|PBPX_BACSU
isogroup79982	sp|P48152|RS3_CAEEL
isogroup79997	sp|Q9H649|NSUN3_HUMAN
isogroup80	sp|P09205|TBA2_CHLRE
isogroup80000	sp|Q8ZBV7|RLUD_YERPE
isogroup8002	sp|Q7W066|53DR_BORPE
isogroup80025	sp|P27166|CALM_STYLE
isogroup80065	sp|Q2R1Z5|CML6_ORYSJ
isogroup80071	sp|P32023|KGP25_DROME
isogroup80084	sp|C0HKG6|RNT2B_MOUSE
isogroup80088	sp|P50648|RIR1_PLAF4
isogroup8009	sp|O70511|ANK3_RAT
isogroup80097	sp|P74369|Y1647_SYNY3
isogroup80121	sp|Q6P9U1|NUD22_RAT
isogroup80129	sp|Q8VHL1|SETD7_MOUSE
isogroup80131	sp|Q52I78|NAMPT_PIG
isogroup8015	sp|Q54W24|ABCB4_DICDI
isogroup8017	sp|Q4L208|SL9A8_RAT
isogroup80178	sp|Q6FLF3|DBP2_CANGA
isogroup8018	sp|Q5R5E7|3HIDH_PONAB
isogroup80196	sp|Q1QX69|MSBA_CHRSD
isogroup802	sp|Q3E7K8|UBQ12_ARATH
isogroup80204	sp|Q23DE3|RS3A_TETTS
isogroup80216	sp|Q8RWS8|PP199_ARATH
isogroup80225	sp|Q8WYR4|RSPH1_HUMAN
isogroup80230	sp|Q57664|GALE_METJA
isogroup80241	sp|O93988|ACL1_SORMK
isogroup80244	sp|P0C7Q7|PPR38_ARATH
isogroup80248	sp|Q7TNH6|NPHP3_MOUSE
isogroup80258	sp|Q6H6D2|HEM3_ORYSJ
isogroup8027	sp|Q99PF5|FUBP2_RAT
isogroup80285	sp|P87154|DPOE_SCHPO
isogroup80300	sp|P23286|CALM_CANAX
isogroup80312	sp|Q8RWS8|PP199_ARATH
isogroup80324	sp|P0DN30|RTAI1_ARTBC
isogroup8034	sp|Q7XRB5|PDI12_ORYSJ
isogroup8038	sp|Q9CWR2|SMYD3_MOUSE
isogroup80398	sp|P16171|MERA_BACCE
isogroup80399	sp|Q9W092|CHIT2_DROME
isogroup80401	sp|Q8VI47|MRP2_MOUSE
isogroup8042	sp|P10567|MYSP_CAEEL
isogroup80425	sp|P48021|HMDH_CAMAC
isogroup8043	sp|Q9D5R3|CEP83_MOUSE
isogroup80443	sp|Q55087|CHLP_SYNY3
isogroup80476	sp|O76856|CATD_DICDI
isogroup8048	sp|Q8KZT5|GBH_ARTS8
isogroup80487	sp|P44910|TYPA_HAEIN
isogroup80491	sp|Q6ZFZ4|DEK1_ORYSJ
isogroup80502	sp|P27766|DYI3_CHLRE
isogroup80503	sp|Q9ZNS0|PLT3_ARATH
isogroup80507	sp|Q4WJQ1|EIF3A_ASPFU
isogroup80510	sp|Q8LG53|UN932_ARATH
isogroup80511	sp|Q9SIC9|PP178_ARATH
isogroup80539	sp|Q9LZH9|RL7A2_ARATH
isogroup80541	sp|O77676|KGP1_RABIT
isogroup80571	sp|Q9SYP1|DEXHC_ARATH
isogroup80577	sp|P38295|MCFS2_YEAST
isogroup8058	sp|Q8VZG1|DGK3_ARATH
isogroup80589	sp|Q8L850|PI5K9_ARATH
isogroup80605	sp|O23244|PPA25_ARATH
isogroup80606	sp|A5FJG9|RS2_FLAJ1
isogroup80612	sp|Q84J46|PP262_ARATH
isogroup80635	sp|Q8R0W5|EST4A_MOUSE
isogroup80637	sp|Q5T655|CFA58_HUMAN
isogroup80679	sp|P40494|PRK1_YEAST
isogroup80688	sp|Q8RWS8|PP199_ARATH
isogroup80693	sp|A1RIZ0|RSMF_SHESW
isogroup8073	sp|Q70LM4|LGRD_BREPA
isogroup80747	sp|P91924|ARF_DUGJA
isogroup80759	sp|Q9NJU9|CDPK3_PLAF7
isogroup80765	sp|A7LXU0|GH43B_BACO1
isogroup80772	sp|Q8YRI1|YY46_NOSS1
isogroup80783	sp|Q9SEE4|PIRL_SOLLC
isogroup80791	sp|Q66H60|CC146_RAT
isogroup80792	sp|Q54RC3|TOP1_DICDI
isogroup80801	sp|Q9ZW02|PUM3_ARATH
isogroup80808	sp|P32563|VPH1_YEAST
isogroup80818	sp|P16273|PRPX_HORVU
isogroup8082	sp|Q503G8|S38A6_DANRE
isogroup80822	sp|P11029|ACAC_CHICK
isogroup80841	sp|Q9SYI0|SECA1_ARATH
isogroup80847	sp|Q8T869|BIP2_DICDI
isogroup80861	sp|Q9SKT7|NDB4_ARATH
isogroup80866	sp|F4KIL8|FBT5_ARATH
isogroup8089	sp|F4JZY1|CIP1_ARATH
isogroup8091	sp|Q9P6K1|SFT2_SCHPO
isogroup80934	sp|F4JTS8|NOV_ARATH
isogroup8094	sp|Q5UPD4|YL060_MIMIV
isogroup8095	sp|Q4HX89|BTN1_GIBZE
isogroup80959	sp|O73798|IGF1R_XENLA
isogroup81	sp|F4JS25|SRFR1_ARATH
isogroup81016	sp|Q3V2Q8|N42L1_MOUSE
isogroup8103	sp|B0WAQ0|LST2_CULQU
isogroup8104	sp|O60447|EVI5_HUMAN
isogroup81044	sp|O82316|TIP41_ARATH
isogroup81049	sp|Q8R420|ABCA3_MOUSE
isogroup8106	sp|Q9NVG8|TBC13_HUMAN
isogroup81067	sp|P15623|GLNA3_BACFR
isogroup81068	sp|P30694|CAPPA_FLATR
isogroup81148	sp|Q02K94|FABB_PSEAB
isogroup81149	sp|C0HLA0|GH5FP_CHAOB
isogroup8116	sp|A3MXQ7|RTCA_PYRCJ
isogroup81176	sp|Q42971|ENO_ORYSJ
isogroup81190	sp|C0HLA0|GH5FP_CHAOB
isogroup81191	sp|P49004|DPOD2_BOVIN
isogroup812	sp|P32874|HFA1_YEAST
isogroup81206	sp|Q8RWS8|PP199_ARATH
isogroup81212	sp|P11503|HSP70_ONCVO
isogroup81231	sp|Q503L9|NXN_DANRE
isogroup81245	sp|C0HBT3|RN146_SALSA
isogroup8125	sp|Q68EF4|GRM4_MOUSE
isogroup81261	sp|Q91WJ8|FUBP1_MOUSE
isogroup81292	sp|P11103|PARP1_MOUSE
isogroup81295	sp|P0CL94|APTH1_CRYNJ
isogroup8130	sp|Q9MAT5|ANM10_ARATH
isogroup81305	sp|Q03114|CDK5_RAT
isogroup81318	sp|Q502K3|ANR52_DANRE
isogroup81341	sp|Q8I589|PPR1_PLAF7
isogroup81358	sp|P55956|ASP3_CAEEL
isogroup8136	sp|Q08980|YP264_YEAST
isogroup81377	sp|Q15TV2|RLMI_PSEA6
isogroup8140	sp|Q98E66|Y4386_RHILO
isogroup81402	sp|P21334|CRTI_NEUCR
isogroup81424	sp|Q27459|ACE1_CAEBR
isogroup8145	sp|Q9QJ16|IE2_HHV6Z
isogroup81476	sp|O43049|PPT1_SCHPO
isogroup81497	sp|Q9SZX9|RL92_ARATH
isogroup8150	sp|Q9VR91|HERC2_DROME
isogroup81510	sp|Q54CS6|DCD1B_DICDI
isogroup81517	sp|Q5A687|MNN22_CANAL
isogroup81528	sp|Q9UQW6|THIL_SCHPO
isogroup81529	sp|P56941|NPC1_PIG
isogroup8153	sp|P0CP88|PPIL4_CRYNJ
isogroup8154	sp|Q869V1|NRAM1_DICDI
isogroup81541	sp|Q9FLL3|PP412_ARATH
isogroup81542	sp|Q5UAP4|RSSA_BOMMO
isogroup8155	sp|L0TC47|LIPV_MYCTU
isogroup81553	sp|Q9JIM3|ER6L2_MOUSE
isogroup81563	sp|P41561|IDH2_COLMA
isogroup81568	sp|P42730|CLPB1_ARATH
isogroup81586	sp|A7XRY8|TDID_EMENI
isogroup81619	sp|Q5R748|PCYOX_PONAB
isogroup81628	sp|O34726|YFLS_BACSU
isogroup81630	sp|Q7T0Q1|MTPN_XENLA
isogroup81637	sp|P49079|AKH1_MAIZE
isogroup8164	sp|Q9LZ06|GSTL3_ARATH
isogroup81660	sp|P46077|14334_ARATH
isogroup81681	sp|Q9SIC9|PP178_ARATH
isogroup8172	sp|Q9LT68|NHD1_ARATH
isogroup81723	sp|Q58728|Y1332_METJA
isogroup81726	sp|P40806|PKSJ_BACSU
isogroup8173	sp|Q8RB67|DNAJ_CALS4
isogroup81732	sp|Q18846|KS6A2_CAEEL
isogroup81750	sp|Q9FNY7|OGG1_ARATH
isogroup81754	sp|Q2GMX1|HAS1_CHAGB
isogroup81760	sp|Q869L4|FNKA_DICDI
isogroup8178	sp|P72926|Y1024_SYNY3
isogroup81787	sp|A0A383ZFX3|ASAH1_BALAS
isogroup8179	sp|Q6DN14|MCTP1_HUMAN
isogroup81794	sp|Q9SIC9|PP178_ARATH
isogroup81802	sp|P48353|HLJ1_YEAST
isogroup81816	sp|O89017|LGMN_MOUSE
isogroup81862	sp|Q9SYA6|RPBAL_ARATH
isogroup81890	sp|Q8ZRS8|ACNB_SALTY
isogroup81894	sp|Q6DKJ4|NXN_HUMAN
isogroup81898	sp|P05990|PYR1_DROME
